Repo,Submodule,LOC,Dependencies
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-dispatcher\snail-job-server-retry-task,6050,1584
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi,438,1584
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-service,2181,1595
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-ui,33,1577
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-web,10628,1596
aizuda__snail-job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-starter,537,1590
alibaba__compileflow,C:\Users\tyin363\Documents\repos\alibaba__compileflow,25276,15
alibaba__java-dns-cache-manipulator,C:\Users\tyin363\Documents\repos\alibaba__java-dns-cache-manipulator\library,1928,59
alibaba__java-dns-cache-manipulator,C:\Users\tyin363\Documents\repos\alibaba__java-dns-cache-manipulator\tool,169,64
alibaba__QLExpress,C:\Users\tyin363\Documents\repos\alibaba__QLExpress,30015,6
alibaba__transmittable-thread-local,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl-agent,1585,94
alibaba__transmittable-thread-local,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl-core,4894,94
alibaba__transmittable-thread-local,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl-integrations\sample-ttl-agent-extension-transformlet,81,2
alibaba__transmittable-thread-local,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl-integrations\vertx3-ttl-integration,455,294
alibaba__transmittable-thread-local,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl-integrations\vertx4-ttl-integration,430,374
alibaba__transmittable-thread-local,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl2-compatible,5055,97
Alovoa__alovoa,C:\Users\tyin363\Documents\repos\Alovoa__alovoa,11183,1534
Amazingwujun__mqttx,C:\Users\tyin363\Documents\repos\Amazingwujun__mqttx,7354,1187
