submodule,normalised_direct_deps,normalised_transitive_deps
ageerle__ruoyi-ai_ruoyi-ai-copilot,0.13513513513513514,0.0
ageerle__ruoyi-ai_ruoyi-chat,0.0,0.0
ageerle__ruoyi-ai_ruoyi-chat-api,0.0,0
ageerle__ruoyi-ai_ruoyi-common-chat,0.0,0.05172413793103448
ageerle__ruoyi-ai_ruoyi-common-core,0.0,0.0
ageerle__ruoyi-ai_ruoyi-common-doc,0.0,0.0
ageerle__ruoyi-ai_ruoyi-common-encrypt,0.0,0.0
ageerle__ruoyi-ai_ruoyi-common-excel,0.0,0.0
ageerle__ruoyi-ai_ruoyi-common-idempotent,0.0,0.0
ageerle__ruoyi-ai_ruoyi-common-json,0.0,0.0
ageerle__ruoyi-ai_ruoyi-common-log,0.0,0
ageerle__ruoyi-ai_ruoyi-common-mail,0.0,0.0
ageerle__ruoyi-ai_ruoyi-common-mybatis,0.0,0.014814814814814815
ageerle__ruoyi-ai_ruoyi-common-oss,0.023809523809523808,0.0
ageerle__ruoyi-ai_ruoyi-common-pay,0.0,0
ageerle__ruoyi-ai_ruoyi-common-ratelimiter,0.0,0
ageerle__ruoyi-ai_ruoyi-common-redis,0.0,0.0
ageerle__ruoyi-ai_ruoyi-common-satoken,0.0,0.045454545454545456
ageerle__ruoyi-ai_ruoyi-common-security,0.0,0
ageerle__ruoyi-ai_ruoyi-common-sensitive,0.0,0
ageerle__ruoyi-ai_ruoyi-common-sms,0.0,0.0
ageerle__ruoyi-ai_ruoyi-common-tenant,0.0,0
ageerle__ruoyi-ai_ruoyi-common-translation,0.0,0
ageerle__ruoyi-ai_ruoyi-common-web,0.0,0.0
ageerle__ruoyi-ai_ruoyi-generator,0.0,0
ageerle__ruoyi-ai_ruoyi-knowledge-api,0.0,0.0
ageerle__ruoyi-ai_ruoyi-mcp-server,0.0,0.0
ageerle__ruoyi-ai_ruoyi-system,0.0,0.0
ageerle__ruoyi-ai_ruoyi-system-api,0.0,0
aikar__commands_brigadier,0,0
aikar__commands_bukkit,0.0,0
aikar__commands_bungee,0.0,0
aikar__commands_core,0.0,0
aikar__commands_example,0,0
aikar__commands_jda,0.0,0
aikar__commands_jda5,0.06976744186046512,0
aikar__commands_paper,0,0
aikar__commands_sponge,0.0,0
aikar__commands_sponge10,0.0,0
aikar__commands_velocity,0.0,0
aizuda__flowlong_flowlong-core,0,0
aizuda__flowlong_flowlong-mybatis-plus,0.0,0
aizuda__flowlong_flowlong-solon-example,0,0.0
aizuda__flowlong_flowlong-solon-plugin,0.0,0.012658227848101266
aizuda__flowlong_flowlong-spring-boot-example,0.0,0.0
aizuda__flowlong_flowlong-spring-boot-starter,0.0,0.0
aizuda__snail-job_snail-job-client-common,0.0,0.0
aizuda__snail-job_snail-job-client-job-core,0.0,0.0
aizuda__snail-job_snail-job-client-retry-core,0.0,0.0
aizuda__snail-job_snail-job-client-starter,0,0.0
aizuda__snail-job_snail-job-common-core,0.0,0.0
aizuda__snail-job_snail-job-common-log,0.0,0.0
aizuda__snail-job_snail-job-common-model,0.0,0.0
aizuda__snail-job_snail-job-datasource-template,0.0,0.1111111111111111
aizuda__snail-job_snail-job-dm8-datasource,0,0
aizuda__snail-job_snail-job-kingbase-datasource,0,0
aizuda__snail-job_snail-job-mariadb-datasource,0,0
aizuda__snail-job_snail-job-mysql-datasource,0,0
aizuda__snail-job_snail-job-oracle-datasource,0,0
aizuda__snail-job_snail-job-postgres-datasource,0,0
aizuda__snail-job_snail-job-server-common,0.0,0.0
aizuda__snail-job_snail-job-server-job-task,0.0,0.0
aizuda__snail-job_snail-job-server-openapi,0.0,0.0
aizuda__snail-job_snail-job-server-retry-task,0.0,0.0
aizuda__snail-job_snail-job-server-service,0.0,0.0
aizuda__snail-job_snail-job-server-starter,0.0,0.0
aizuda__snail-job_snail-job-server-ui,0.0,0.0
aizuda__snail-job_snail-job-server-web,0.0,0.0
