project,submodule,total_unique_dependencies,omitted_conflict_count,omitted_conflict_percentage,version_managed_count,version_managed_percentage
alibaba__arthas,tunnel-common,14,0,0.0,1,7.14
alibaba__arthas,tunnel-server,119,0,0.0,14,11.76
alibaba__COLA,cola-component-catchlog-starter,57,0,0.0,4,7.02
alibaba__COLA,cola-component-domain-starter,52,0,0.0,4,7.69
alibaba__COLA,cola-component-dto,10,0,0.0,0,0.0
alibaba__COLA,cola-component-exception,10,0,0.0,0,0.0
alibaba__COLA,cola-component-extension-starter,58,0,0.0,3,5.17
alibaba__COLA,cola-component-job,150,28,18.67,0,0.0
alibaba__COLA,cola-component-ruleengine,12,0,0.0,0,0.0
alibaba__COLA,cola-component-statemachine,10,0,0.0,3,30.0
alibaba__COLA,cola-component-test-container,53,0,0.0,5,9.43
alibaba__COLA,cola-component-unittest,191,5,2.62,34,17.8
alibaba__COLA,charge,118,0,0.0,8,6.78
alibaba__fastjson2,benchmark,104,7,6.73,10,9.62
alibaba__fastjson2,benchmark_21,105,7,6.67,10,9.52
alibaba__fastjson2,codegen,56,3,5.36,6,10.71
alibaba__fastjson2,core,192,12,6.25,11,5.73
alibaba__fastjson2,example-graalvm-native,56,3,5.36,4,7.14
alibaba__fastjson2,example-solon-test,79,4,5.06,6,7.59
alibaba__fastjson2,example-spring-test,108,4,3.7,8,7.41
alibaba__fastjson2,example-spring6-test,140,6,4.29,13,9.29
alibaba__fastjson2,extension,190,26,13.68,15,7.89
alibaba__fastjson2,extension-jaxrs-jakarta,80,4,5.0,7,8.75
alibaba__fastjson2,extension-jaxrs-javax,81,3,3.7,6,7.41
alibaba__fastjson2,extension-solon,76,5,6.58,6,7.89
alibaba__fastjson2,extension-spring5,180,9,5.0,16,8.89
alibaba__fastjson2,extension-spring6,146,7,4.79,14,9.59
alibaba__fastjson2,fastjson1-compatible,197,14,7.11,11,5.58
alibaba__java-dns-cache-manipulator,library,42,1,2.38,6,14.29
alibaba__java-dns-cache-manipulator,tool,46,1,2.17,6,13.04
alibaba__jetcache,jetcache-anno,22,0,0.0,0,0.0
alibaba__jetcache,jetcache-anno-api,11,0,0.0,0,0.0
alibaba__jetcache,jetcache-core,29,0,0.0,0,0.0
alibaba__jetcache,jetcache-autoconfigure,36,0,0.0,1,2.78
alibaba__jetcache,jetcache-redis,17,0,0.0,1,5.88
alibaba__jetcache,jetcache-redis-lettuce,22,0,0.0,0,0.0
alibaba__jetcache,jetcache-redis-springdata,39,0,0.0,1,2.56
alibaba__jetcache,jetcache-redisson,37,1,2.7,5,13.51
alibaba__jetcache,jetcache-test,56,1,1.79,4,7.14
alibaba__jetcache,simple-samples,60,8,13.33,4,6.67
alibaba__jetcache,jedis,32,1,3.12,0,0.0
alibaba__jetcache,lettuce,38,0,0.0,0,0.0
alibaba__jetcache,redisson,67,5,7.46,5,7.46
alibaba__jetcache,spring-boot-sample-codes,29,0,0.0,0,0.0
alibaba__jetcache,springdata,47,0,0.0,0,0.0
alibaba__jetcache,spring-sample,24,0,0.0,0,0.0
alibaba__QLExpress,alibaba__QLExpress,12,3,25.0,0,0.0
alibaba__SmartEngine,core,31,0,0.0,0,0.0
alibaba__SmartEngine,retry-common,29,0,0.0,0,0.0
alibaba__SmartEngine,retry-custom,31,0,0.0,0,0.0
alibaba__SmartEngine,retry-mysql,30,0,0.0,0,0.0
alibaba__SmartEngine,storage-common,34,0,0.0,0,0.0
alibaba__SmartEngine,storage-custom,35,0,0.0,0,0.0
alibaba__SmartEngine,storage-mysql,41,0,0.0,0,0.0
alibaba__transmittable-thread-local,ttl-agent,59,0,0.0,16,27.12
alibaba__transmittable-thread-local,ttl-core,60,0,0.0,16,26.67
alibaba__transmittable-thread-local,sample-ttl-agent-extension-transformlet,4,0,0.0,0,0.0
alibaba__transmittable-thread-local,vertx3-ttl-integration,92,0,0.0,25,27.17
alibaba__transmittable-thread-local,vertx4-ttl-integration,94,0,0.0,25,26.6
alibaba__transmittable-thread-local,ttl2-compatible,62,0,0.0,15,24.19
aliyun__aliyun-oss-java-sdk,aliyun__aliyun-oss-java-sdk,27,2,7.41,0,0.0
Alovoa__alovoa,Alovoa__alovoa,152,1,0.66,15,9.87
AmosWang0626__think-cola,think-adapter,64,0,0.0,4,6.25
AmosWang0626__think-cola,think-app,30,0,0.0,4,13.33
AmosWang0626__think-cola,think-client,4,0,0.0,0,0.0
AmosWang0626__think-cola,think-domain,9,0,0.0,1,11.11
AmosWang0626__think-cola,think-infrastructure,62,0,0.0,3,4.84
AmosWang0626__think-cola,think-start,6,0,0.0,1,16.67
andreschaffer__event-sourcing-cqrs-examples,andreschaffer__event-sourcing-cqrs-examples,121,14,11.57,7,5.79
anhtester__AutomationFrameworkSelenium,anhtester__AutomationFrameworkSelenium,147,18,12.24,0,0.0
AntonyCheng__spring-boot-init-template,AntonyCheng__spring-boot-init-template,707,34,4.81,49,6.93
AntonyCheng__spring-boot-init-template,power-job-admin,271,13,4.8,45,16.61
AntonyCheng__spring-boot-init-template,spring-boot-admin,87,0,0.0,8,9.2
AntonyCheng__spring-boot-init-template,xxl-job-admin,106,1,0.94,9,8.49
apache__ambari,ambari-server-spi,15,0,0.0,0,0.0
apache__ambari,ambari-serviceadvisor,5,0,0.0,0,0.0
apache__ambari,ambari-utility,99,0,0.0,0,0.0
apache__ambari,ambari-views,17,0,0.0,0,0.0
apache__ambari,auto-cluster-view,13,0,0.0,0,0.0
apache__ambari,metrics-sink,58,9,15.52,0,0.0
apache__amoro,amoro-ams,460,62,13.48,10,2.17
apache__amoro,amoro-format-iceberg,247,46,18.62,6,2.43
apache__amoro,amoro-mixed-flink-common,315,57,18.1,11,3.49
apache__amoro,amoro-mixed-flink-common-format,42,3,7.14,1,2.38
apache__amoro,amoro-mixed-flink-common-iceberg-bridge,298,60,20.13,9,3.02
apache__amoro,amoro-mixed-flink-1.15,236,34,14.41,8,3.39
apache__amoro,amoro-mixed-spark-3-common,335,53,15.82,10,2.99
apache__amoro,amoro-mixed-spark-3.2,392,77,19.64,12,3.06
apache__amoro,amoro-mixed-spark-3.3,382,78,20.42,11,2.88
apache__amoro,amoro-mixed-spark-3.5,390,82,21.03,10,2.56
apache__amoro,amoro-mixed-trino,332,69,20.78,10,3.01
apache__amoro,amoro-format-paimon,277,48,17.33,9,3.25
apache__amoro,amoro-metrics-prometheus,34,0,0.0,0,0.0
apache__amoro,amoro-optimizer-common,30,0,0.0,0,0.0
apache__amoro,amoro-optimizer-flink,83,5,6.02,1,1.2
apache__amoro,amoro-optimizer-spark,261,39,14.94,9,3.45
apache__amoro,amoro-optimizer-standalone,31,0,0.0,0,0.0
apache__cassandra-java-driver,guava-shaded,18,0,0.0,0,0.0
apache__celeborn,openapi-client,41,0,0.0,0,0.0
apache__celeborn,spi,28,0,0.0,0,0.0
apache__commons-bcel,apache__commons-bcel,24,0,0.0,0,0.0
apache__commons-beanutils,apache__commons-beanutils,12,0,0.0,0,0.0
apache__commons-cli,apache__commons-cli,15,0,0.0,0,0.0
apache__commons-codec,apache__commons-codec,10,0,0.0,0,0.0
apache__commons-collections,apache__commons-collections,24,0,0.0,0,0.0
apache__commons-compress,apache__commons-compress,61,2,3.28,1,1.64
apache__commons-configuration,apache__commons-configuration,57,5,8.77,1,1.75
apache__commons-csv,apache__commons-csv,22,0,0.0,0,0.0
apache__commons-dbcp,apache__commons-dbcp,53,3,5.66,0,0.0
apache__commons-dbutils,apache__commons-dbutils,17,0,0.0,0,0.0
apache__commons-fileupload,main,0,0,0,0,0
apache__commons-imaging,apache__commons-imaging,12,0,0.0,0,0.0
apache__commons-io,apache__commons-io,29,2,6.9,1,3.45
apache__commons-jexl,apache__commons-jexl,14,0,0.0,0,0.0
apache__commons-lang,apache__commons-lang,21,0,0.0,1,4.76
apache__commons-net,apache__commons-net,18,0,0.0,0,0.0
apache__commons-pool,apache__commons-pool,15,1,6.67,0,0.0
apache__commons-text,apache__commons-text,29,2,6.9,0,0.0
