Repo Name,Repo Size (KB),Has Commit 30,Has Commit 60,Has Commit 90,Has Commit 180,Has Commit 365
flyway/flyway,1190603,True,True,True,True,True
laobie/StatusBarUtil,9364,False,False,False,False,False
apache/jmeter,133346,False,True,True,True,True
Freelander/Android_Data,153,False,False,False,False,False
java-native-access/jna,702687,True,True,True,True,True
Blankj/awesome-java-leetcode,512,False,False,False,False,False
chrisbanes/Android-PullToRefresh,4286,False,False,False,False,False
ybq/Android-SpinKit,10241,False,False,False,False,False
shwenzhang/AndResGuard,8343,False,False,False,False,False
checkstyle/checkstyle,200392,True,True,True,True,True
apache/shenyu,65888,True,True,True,True,True
chrisjenx/Calligraphy,1523,False,False,False,False,False
facebook/buck,2024585,False,False,False,False,False
react-native-image-picker/react-native-image-picker,3219,True,True,True,True,True
airbnb/epoxy,34091,False,False,False,False,False
karatelabs/karate,26504,False,True,True,True,True
dropwizard/dropwizard,112980,True,True,True,True,True
junit-team/junit4,24363,True,True,True,True,True
apache/seatunnel,45066,True,True,True,True,True
amitshekhariitbhu/Android-Debug-Database,1697,False,False,False,False,True
flowable/flowable-engine,233305,True,True,True,True,True
roughike/BottomBar,40819,False,False,False,False,False
google/tsunami-security-scanner,943,True,True,True,True,True
hs-web/hsweb-framework,33909,True,True,True,True,True
DImuthuUpe/AndroidPdfViewer,2724,False,False,False,False,True
frohoff/ysoserial,463,False,False,False,False,False
testcontainers/testcontainers-java,13685,True,True,True,True,True
wildfirechat/im-server,21426,True,True,True,True,True
apache/shardingsphere-elasticjob,46052,False,False,False,True,True
alibaba/atlas,84497,False,False,False,False,False
apache/beam,820299,True,True,True,True,True
florent37/MaterialViewPager,19557,False,False,False,False,False
guolindev/LitePal,5433,False,False,False,False,False
alibaba/otter,12042,False,False,False,False,False
LSPosed/LSPatch,10312,False,False,False,False,False
pentaho/pentaho-kettle,702090,True,True,True,True,True
PojavLauncherTeam/PojavLauncher,907941,False,True,True,True,True
Netflix/SimianArmy,15326,False,False,False,False,False
alibaba/transmittable-thread-local,3690,True,True,True,True,True
davemorrissey/subsampling-scale-image-view,57935,False,False,False,False,False
aritraroy/UltimateAndroidReference,543,False,False,False,False,False
JakeWharton/hugo,201,False,False,False,False,False
junixapp/XPopup,152978,False,False,False,True,True
HannahMitt/HomeMirror,6207,False,False,False,False,False
dropwizard/metrics,20823,True,True,True,True,True
apache/tomcat,178589,True,True,True,True,True
cabaletta/baritone,16473,True,True,True,True,True
bytedeco/javacv,7935,False,False,True,True,True
ChrisRM/material-theme-jetbrains,148338,False,False,False,False,False
aeron-io/aeron,70141,True,True,True,True,True
software-mansion/react-native-svg,90412,True,True,True,True,True
trello-archive/RxLifecycle,897,False,False,False,False,False
langchain4j/langchain4j,13965,True,True,True,True,True
Graylog2/graylog2-server,194531,True,True,True,True,True
goldze/MVVMHabit,1298,False,False,False,False,False
vipshop/vjtools,2108,False,False,False,False,False
HMCL-dev/HMCL,30225,True,True,True,True,True
gedoor/MyBookshelf,27255,False,False,False,False,False
Tencent/Shadow,3644,False,False,True,True,True
google/android-classyshark,24865,False,False,False,False,False
koush/AndroidAsync,3720,False,False,False,False,False
kaushikgopal/RxJava-Android-Samples,1188,False,False,False,False,False
google/closure-compiler,187826,True,True,True,True,True
twowaits/SDE-Interview-Questions,1461,False,False,False,False,False
lecho/hellocharts-android,6126,False,False,False,False,False
apache/iceberg,94266,True,True,True,True,True
kevin-wayne/algs4,2025,True,True,True,True,True
PowerJob/PowerJob,19516,False,False,False,True,True
yuanguangxin/LeetCode,284,True,True,True,True,True
swagger-api/swagger-core,22288,True,True,True,True,True
dyc87112/SpringCloud-Learning,1265,False,False,False,False,False
lenve/VBlog,3841,False,False,False,False,False
abel533/Mapper,2274,False,False,False,False,True
leolin310148/ShortcutBadger,1231,False,False,False,False,False
mapstruct/mapstruct,11088,True,True,True,True,True
Snailclimb/JavaGuide,177083,True,True,True,True,True
krahets/hello-algo,362630,True,True,True,True,True
iluwatar/java-design-patterns,46859,True,True,True,True,True
macrozheng/mall,58697,True,True,True,True,True
doocs/advanced-java,26586,False,True,True,True,True
krahets/LeetCode-Book,858,False,False,False,False,False
Qihoo360/RePlugin,25364,False,False,False,False,True
square/dagger,6861,False,False,False,False,False
ZCShou/GoGoGo,413560,True,True,True,True,True
Bearded-Hen/Android-Bootstrap,11507,False,False,False,False,False
pedant/sweet-alert-dialog,1694,False,False,False,False,False
crazycodeboy/TakePhoto,11513,False,False,False,False,False
gocd/gocd,407856,True,True,True,True,True
Exrick/xmall,110866,False,False,False,False,False
geeeeeeeeek/WeChatLuckyMoney,660,False,False,False,False,False
cymcsg/UltimateRecyclerView,7153,False,False,False,False,False
MinecraftForge/MinecraftForge,122592,True,True,True,True,True
google/agera,968,False,False,False,False,False
jeecgboot/jimureport,105721,True,True,True,True,True
ogaclejapan/SmartTabLayout,14671,False,False,False,False,False
NanoHttpd/nanohttpd,1375,False,False,False,False,False
didi/KnowStreaming,200022,False,False,False,False,True
JakeWharton/ActionBarSherlock,21244,False,False,False,False,False
naman14/Timber,17485,False,False,False,False,False
NLPchina/elasticsearch-sql,8890,True,True,True,True,True
Alluxio/alluxio,205633,True,True,True,True,True
google/error-prone,152699,True,True,True,True,True
rest-assured/rest-assured,11391,True,True,True,True,True
