library_name,projects_affected,unique_selected_versions,unique_conflicting_versions,conflict_type_breakdown,avg_selected_depth,min_selected_depth,max_selected_depth,avg_conflicting_depth,min_conflicting_depth,max_conflicting_depth,total_conflicts
org.springframework.boot:spring-boot-starter-cache,2,2,2,{'version_managed': 7},3.0,3,3,3.0,3,3,7
org.bouncycastle:bcprov-jdk18on,3,2,3,{'omitted_conflict': 6},2.33,1,3,3.83,2,6,6
io.netty:netty-transport-native-kqueue,1,1,1,{'version_managed': 6},2.67,2,3,2.67,2,3,6
io.reactivex:rxjava,2,1,2,{'omitted_conflict': 6},1.0,1,1,2.0,2,2,6
io.smallrye.common:smallrye-common-ref,1,1,2,{'version_managed': 6},3.33,0,4,3.33,0,4,6
org.codehaus.plexus:plexus-classworlds,3,2,2,"{'version_managed': 4, 'omitted_conflict': 2}",4.17,2,5,4.5,3,5,6
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,4,4,4,{'version_managed': 6},2.83,2,3,2.83,2,3,6
io.smallrye.common:smallrye-common-cpu,1,1,2,{'version_managed': 6},3.33,0,4,3.33,0,4,6
jakarta.validation:jakarta.validation-api,4,2,3,"{'version_managed': 4, 'omitted_conflict': 2}",3.83,1,6,4.17,2,6,6
io.smallrye.common:smallrye-common-function,1,1,1,{'version_managed': 6},4.0,4,4,4.0,4,4,6
com.google.inject:guice,3,2,3,"{'version_managed': 5, 'omitted_conflict': 1}",2.83,1,4,3.0,2,4,6
com.alibaba:fastjson,2,1,4,{'version_managed': 6},3.5,2,5,3.5,2,5,6
org.eclipse.parsson:parsson,1,1,1,{'version_managed': 6},4.0,4,4,4.0,4,4,6
org.glassfish.jaxb:txw2,2,1,2,{'version_managed': 6},2.67,2,4,2.67,2,4,6
jakarta.enterprise:jakarta.enterprise.cdi-api,1,2,2,{'omitted_conflict': 6},1.0,1,1,2.33,2,3,6
io.fabric8:zjsonpatch,1,1,1,{'version_managed': 6},2.0,2,2,2.0,2,2,6
org.hswebframework:hsweb-utils,2,1,1,{'version_managed': 6},2.33,2,3,2.33,2,3,6
io.smallrye.common:smallrye-common-net,1,1,2,{'version_managed': 6},3.33,0,4,3.33,0,4,6
org.apache.logging.log4j:log4j-core,5,5,5,"{'version_managed': 4, 'omitted_conflict': 2}",1.83,1,3,2.17,2,3,6
org.eclipse.jetty:jetty-util,4,4,4,"{'version_managed': 5, 'omitted_conflict': 1}",3.33,2,4,3.67,2,5,6
org.apache.commons:commons-pool2,4,3,3,{'version_managed': 5},2.0,2,2,2.0,2,2,5
org.codehaus.plexus:plexus-component-annotations,1,1,1,{'omitted_conflict': 5},1.0,1,1,2.0,2,2,5
org.hamcrest:hamcrest-library,2,1,2,"{'version_managed': 4, 'omitted_conflict': 1}",1.8,1,2,2.0,2,2,5
io.projectreactor:reactor-tools,1,1,1,{'version_managed': 5},2.0,2,2,2.0,2,2,5
com.google.truth:truth,2,2,2,{'omitted_conflict': 5},1.0,1,1,2.0,2,2,5
org.jetbrains.kotlinx:kotlinx-coroutines-core,1,1,1,{'version_managed': 5},2.0,2,2,2.0,2,2,5
io.grpc:grpc-context,3,3,4,"{'omitted_conflict': 4, 'version_managed': 1}",2.0,2,2,2.2,2,3,5
