library_name,projects_affected,unique_selected_versions,unique_conflicting_versions,conflict_type_breakdown,avg_selected_depth,min_selected_depth,max_selected_depth,avg_conflicting_depth,min_conflicting_depth,max_conflicting_depth,total_conflicts
com.google.auth:google-auth-library-oauth2-http,1,1,2,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
org.ow2.asm:asm-commons,2,2,2,"{'omitted_conflict': 1, 'version_managed': 1}",2.0,2,2,3.5,2,5,2
com.google.auto.value:auto-value,1,1,1,{'omitted_conflict': 2},1.0,1,1,2.0,2,2,2
com.google.cloud:google-cloud-core,1,1,2,{'omitted_conflict': 2},2.0,2,2,3.0,2,4,2
com.google.http-client:google-http-client,1,1,2,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
com.google.http-client:google-http-client-gson,1,1,2,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
com.fasterxml.jackson.module:jackson-module-blackbird,1,1,1,{'version_managed': 2},3.0,3,3,3.0,3,3,2
org.jetbrains.kotlinx:kotlinx-serialization-core-jvm,1,1,2,{'omitted_conflict': 2},3.0,3,3,4.5,4,5,2
org.codehaus.mojo:animal-sniffer-annotations,1,1,1,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
com.squareup.okhttp3:logging-interceptor,2,2,2,{'version_managed': 2},2.0,2,2,2.0,2,2,2
com.fasterxml.jackson.jakarta.rs:jackson-jakarta-rs-json-provider,1,1,2,{'version_managed': 2},2.0,2,2,2.0,2,2,2
com.squareup.okio:okio-jvm,1,1,1,{'omitted_conflict': 2},3.0,3,3,4.0,4,4,2
com.sun.jersey:jersey-client,1,1,1,{'omitted_conflict': 2},2.0,2,2,4.0,4,4,2
com.sun.jersey:jersey-core,1,1,1,{'omitted_conflict': 2},3.0,3,3,4.0,4,4,2
org.jboss.logging:jboss-logging-processor,2,1,1,{'omitted_conflict': 2},2.5,2,3,5.5,5,6,2
org.jboss.logging:jboss-logging-annotations,2,1,1,{'omitted_conflict': 2},2.5,2,3,5.5,5,6,2
com.fasterxml.jackson.datatype:jackson-datatype-guava,1,1,1,{'version_managed': 2},3.0,3,3,3.0,3,3,2
commons-net:commons-net,1,1,1,{'version_managed': 2},3.0,3,3,3.0,3,3,2
xml-apis:xml-apis,2,2,2,{'omitted_conflict': 2},3.0,2,4,4.5,3,6,2
org.codehaus.janino:janino,1,2,1,{'version_managed': 2},6.0,6,6,6.0,6,6,2
org.apache.groovy:groovy,1,1,1,{'version_managed': 2},4.5,4,5,4.5,4,5,2
jakarta.json:jakarta.json-api,2,1,2,{'version_managed': 2},2.5,2,3,2.5,2,3,2
org.apache.poi:poi-ooxml,2,2,2,"{'omitted_conflict': 1, 'version_managed': 1}",2.5,2,3,2.5,2,3,2
org.apache.poi:poi,2,2,2,"{'omitted_conflict': 1, 'version_managed': 1}",2.0,2,2,2.5,2,3,2
io.perfmark:perfmark-api,1,1,1,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
io.projectreactor.netty:reactor-netty-http,1,1,1,{'version_managed': 2},3.0,3,3,3.0,3,3,2
org.apache.curator:curator-recipes,1,1,2,{'version_managed': 2},2.0,2,2,2.0,2,2,2
org.apache.logging.log4j:log4j-slf4j-impl,2,2,2,{'version_managed': 2},2.0,2,2,2.0,2,2,2
javax.el:el-api,1,1,1,{'omitted_conflict': 2},4.0,4,4,4.0,4,4,2
io.zipkin.brave:brave-context-slf4j,2,2,2,{'version_managed': 2},2.0,2,2,2.0,2,2,2
org.apache.kafka:kafka-clients,2,2,2,"{'omitted_conflict': 1, 'version_managed': 1}",1.5,1,2,2.5,2,3,2
org.apache.hadoop:hadoop-hdfs-client,1,1,2,{'version_managed': 2},2.0,2,2,2.0,2,2,2
jakarta.inject:jakarta.inject-api,2,1,2,{'omitted_conflict': 2},1.5,1,2,2.5,2,3,2
org.apache.httpcomponents.core5:httpcore5-h2,2,2,1,"{'version_managed': 1, 'omitted_conflict': 1}",2.0,2,2,2.5,2,3,2
io.zipkin.brave:brave-instrumentation-http,2,2,2,{'version_managed': 2},2.0,2,2,2.0,2,2,2
org.apache.yetus:audience-annotations,1,1,1,{'version_managed': 2},3.0,3,3,3.0,3,3,2
io.zipkin.brave:brave-tests,2,2,2,{'version_managed': 2},2.0,2,2,2.0,2,2,2
org.codehaus.janino:commons-compiler,1,2,1,{'version_managed': 2},6.0,6,6,6.0,6,6,2
javax.servlet.jsp:jsp-api,1,1,1,{'omitted_conflict': 2},3.0,3,3,4.0,4,4,2
org.antlr:antlr4-runtime,2,2,2,{'omitted_conflict': 2},2.0,2,2,2.0,2,2,2
com.amazonaws:aws-java-sdk-sts,1,1,1,{'omitted_conflict': 1},1.0,1,1,3.0,3,3,1
org.springframework.boot:spring-boot-actuator,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.google.api.grpc:proto-google-cloud-bigquerystorage-v1beta1,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
org.apache.hadoop:hadoop-annotations,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.google.api.grpc:proto-google-cloud-bigquerystorage-v1beta2,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
cn.hutool:hutool-all,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.google.api.grpc:proto-google-cloud-monitoring-v3,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.springframework.boot:spring-boot-loader-tools,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.springframework.boot:spring-boot-loader,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.springframework.boot:spring-boot-buildpack-platform,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
software.amazon.awssdk:cognitoidentity,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.apache.hadoop:hadoop-distcp,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
software.amazon.awssdk:cognitoidentityprovider,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.springframework.batch:spring-batch-infrastructure,1,1,1,{'version_managed': 1},4.0,4,4,4.0,4,4,1
software.amazon.awssdk:dynamodb-enhanced,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.google.api.grpc:grpc-google-cloud-bigquerystorage-v1beta2,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
io.zipkin.zipkin2:zipkin,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
software.amazon.awssdk:pinpoint,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.seleniumhq.selenium:selenium-remote-driver,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
org.scala-lang:scala-reflect,1,1,1,{'omitted_conflict': 1},2.0,2,2,3.0,3,3,1
org.scala-lang:scala-library,1,1,1,{'omitted_conflict': 1},2.0,2,2,3.0,3,3,1
com.google.api:gax-httpjson,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
io.zipkin.reporter2:zipkin-sender-okhttp3,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.postgresql:postgresql,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
com.google.auto.service:auto-service-annotations,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
org.ow2.asm:asm-tree,1,1,1,{'omitted_conflict': 1},2.0,2,2,5.0,5,5,1
io.zipkin.reporter2:zipkin-reporter,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.google.api.grpc:proto-google-cloud-bigquerystorage-v1,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
org.springframework.boot:spring-boot-starter-json,1,1,1,{'version_managed': 1},4.0,4,4,4.0,4,4,1
com.azure:azure-json,1,1,1,{'omitted_conflict': 1},1.0,1,1,3.0,3,3,1
com.google.api.grpc:grpc-google-cloud-bigquerystorage-v1beta1,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
com.beust:jcommander,1,1,1,{'omitted_conflict': 1},1.0,1,1,3.0,3,3,1
com.aliyun.odps:odps-sdk-commons,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
com.clearspring.analytics:stream,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
javax.annotation:javax.annotation-api,1,1,1,{'omitted_conflict': 1},3.0,3,3,6.0,6,6,1
jakarta.xml.soap:jakarta.xml.soap-api,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
jakarta.websocket:jakarta.websocket-client-api,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
org.apache.commons:commons-csv,1,1,1,{'omitted_conflict': 1},2.0,2,2,3.0,3,3,1
jakarta.websocket:jakarta.websocket-api,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
jakarta.servlet:jakarta.servlet-api,1,1,1,{'version_managed': 1},5.0,5,5,5.0,5,5,1
jakarta.persistence:jakarta.persistence-api,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
com.fasterxml.jackson.jr:jackson-jr-objects,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.testng:testng,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
com.alipay.sofa:tracer-core,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.fasterxml.jackson.module:jackson-module-jaxb-annotations,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
org.apache.curator:curator-client,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.apache.curator:curator-framework,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.github.houbb:heaven,1,1,1,{'omitted_conflict': 1},2.0,2,2,3.0,3,3,1
javax.money:money-api,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
org.wildfly.common:wildfly-common,1,1,1,{'omitted_conflict': 1},4.0,4,4,5.0,5,5,1
org.ow2.asm:asm-analysis,1,1,1,{'omitted_conflict': 1},3.0,3,3,5.0,5,5,1
com.alipay.sofa.common:sofa-common-tools,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.xmlunit:xmlunit-placeholders,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
org.apache.groovy:groovy-json,1,1,1,{'version_managed': 1},4.0,4,4,4.0,4,4,1
com.github.luben:zstd-jni,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
com.github.spotbugs:spotbugs-annotations,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.google.api-client:google-api-client-gson,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.google.api.grpc:grpc-google-cloud-bigquerystorage-v1,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
com.github.jsqlparser:jsqlparser,1,1,1,{'omitted_conflict': 1},1.0,1,1,4.0,4,4,1
com.google.cloud:google-cloud-monitoring,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.osgl:osgl-version,1,1,1,{'omitted_conflict': 1},2.0,2,2,3.0,3,3,1
org.glassfish.jersey.media:jersey-media-json-jackson,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
io.opentelemetry:opentelemetry-sdk-extension-autoconfigure-spi,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
io.grpc:grpc-all,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.apache.xmlgraphics:xmlgraphics-commons,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.glassfish.jersey.core:jersey-client,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.glassfish.jersey.core:jersey-common,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.apache.tomcat:tomcat-annotations-api,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
org.apache.tomcat.embed:tomcat-embed-core,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
com.google.cloud:google-cloud-bigquerystorage,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
org.apache.shiro:shiro-core,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
org.graalvm.sdk:graal-sdk,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
io.github.openfeign:feign-core,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
io.opentelemetry:opentelemetry-sdk-trace,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
org.hibernate:hibernate-jpamodelgen,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
io.opentracing:opentracing-impl,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
org.apache.zookeeper:zookeeper-jute,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
io.opentelemetry:opentelemetry-sdk-extension-autoconfigure,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
io.opentelemetry:opentelemetry-sdk-common,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
io.opentelemetry:opentelemetry-sdk,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
io.grpc:grpc-inprocess,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
org.bouncycastle:bcpkix-jdk15on,1,1,1,{'omitted_conflict': 1},3.0,3,3,4.0,4,4,1
io.grpc:grpc-util,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
io.grpc:protoc-gen-grpc-java,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.bouncycastle:bcpkix-jdk18on,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
org.bouncycastle:bcprov-jdk15on,1,1,1,{'omitted_conflict': 1},3.0,3,3,4.0,4,4,1
org.eclipse.jetty:jetty-alpn-client,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
io.opentelemetry:opentelemetry-exporter-logging,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
org.cryptomator:webdav-nio-adapter-servlet,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.checkerframework:checker-compat-qual,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
io.micronaut:micronaut-core-reactive,1,1,1,{'omitted_conflict': 1},3.0,3,3,3.0,3,3,1
io.netty:netty-codec-dns,1,1,1,{'omitted_conflict': 1},3.0,3,3,3.0,3,3,1
io.opentelemetry:opentelemetry-context,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
javax.validation:validation-api,1,1,1,{'omitted_conflict': 1},2.0,2,2,4.0,4,4,1
io.prometheus:simpleclient,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
io.swagger.core.v3:swagger-models-jakarta,1,1,1,{'version_managed': 1},6.0,6,6,6.0,6,6,1
com.mchange:c3p0,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
org.openjfx:javafx-base,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
io.netty:netty-tcnative-classes,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.mybatis.spring.boot:mybatis-spring-boot-starter,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
org.mozilla:rhino,1,1,1,{'version_managed': 1},6.0,6,6,6.0,6,6,1
com.google.cloud:google-cloud-storage,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.google.dagger:dagger,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
org.locationtech.spatial4j:spatial4j,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
io.zipkin.brave:brave-core,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
com.google.http-client:google-http-client-apache-v2,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
org.apache.ibatis:ibatis-sqlmap,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
com.google.inject.extensions:guice-assistedinject,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
com.google.jsinterop:jsinterop-annotations,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
com.google.oauth-client:google-oauth-client,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
com.google.re2j:re2j,1,1,1,{'omitted_conflict': 1},2.0,2,2,4.0,4,4,1
org.apache.logging.log4j:log4j-1.2-api,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
io.vertx:vertx-core,1,1,1,{'version_managed': 1},0.0,0,0,0.0,0,0,1
org.jetlinks:jetlinks-core,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
com.netflix.archaius:archaius-core,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
io.zipkin.brave:brave,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.samskivert:jmustache,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
org.apache.logging.log4j:log4j-slf4j2-impl,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.squareup.okhttp3:okhttp-sse,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.apache.lucene:lucene-analyzers-common,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
org.apache.lucene:lucene-core,1,1,1,{'omitted_conflict': 1},2.0,2,2,2.0,2,2,1
org.apache.lucene:lucene-queryparser,1,1,1,{'omitted_conflict': 1},1.0,1,1,2.0,2,2,1
org.jetbrains.kotlin:kotlin-scripting-compiler-embeddable,1,1,1,{'omitted_conflict': 1},3.0,3,3,4.0,4,4,1
com.sun.xml.bind:jaxb-impl,1,1,1,{'version_managed': 1},3.0,3,3,3.0,3,3,1
org.jdom:jdom2,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
com.zaxxer:HikariCP,1,1,1,{'version_managed': 1},2.0,2,2,2.0,2,2,1
org.jboss.spec.javax.xml.bind:jboss-jaxb-api_2.3_spec,1,1,1,{'version_managed': 1},0.0,0,0,0.0,0,0,1
junit:junit-dep,1,1,1,{'omitted_conflict': 1},0.0,0,0,2.0,2,2,1
