project,num_submodules,total_dependencies,avg_dependencies_per_submodule,total_omitted_conflicts,total_version_managed_conflicts,avg_omitted_conflict_percentage,avg_version_managed_percentage,total_conflicts,avg_conflict_percentage
NichtStudioCode__InvUI,26,810,31.15,62,0,3.26,0.0,62,3.26
NiuXiangQian__chatgpt-stream,1,79,79.0,0,0,0.0,0.0,0,0.0
NotHarshhaa__DevOps-Projects,6,426,71.0,24,0,4.36,0.0,24,4.36
NotoChen__Jetbrains-Help,1,46,46.0,0,1,0.0,2.17,0,0.0
OPCFoundation__UA-Java-Legacy,5,69,13.8,5,0,7.11,0.0,5,7.11
ORCID__ORCID-Source,11,2186,198.73,143,64,6.06,2.78,143,6.06
OWASP-Benchmark__BenchmarkJava,1,127,127.0,12,0,9.45,0.0,12,9.45
OWASP__wrongsecrets,1,463,463.0,20,46,4.32,9.94,20,4.32
OfficialDonut__VisualBukkit,4,122,30.5,7,0,4.53,0.0,7,4.53
OpenBAS-Platform__openbas,3,484,161.33,21,68,3.46,13.15,21,3.46
OpenGamma__Strata,12,272,22.67,0,0,0.0,0.0,0,0.0
OpenHFT__Chronicle-Bytes,2,55,27.5,0,0,0.0,0.0,0,0.0
OpenHFT__Chronicle-Core,5,59,11.8,2,1,1.05,0.53,2,1.05
OpenHFT__Chronicle-Logger,10,309,30.9,0,0,0.0,0.0,0,0.0
OpenHFT__Chronicle-Map,2,99,49.5,5,4,3.34,8.34,5,3.34
OpenHFT__Chronicle-Queue,1,45,45.0,0,0,0.0,0.0,0,0.0
OpenHFT__Chronicle-Wire,4,119,29.75,3,0,1.83,0.0,3,1.83
OpenHFT__Java-Runtime-Compiler,1,8,8.0,0,0,0.0,0.0,0,0.0
OpenHFT__Java-Thread-Affinity,2,60,30.0,3,1,3.19,1.06,3,3.19
OpenHFT__Zero-Allocation-Hashing,1,6,6.0,0,0,0.0,0.0,0,0.0
OpenIdentityPlatform__OpenDJ,18,1347,74.83,66,167,3.03,8.96,66,3.03
OpenRefine__OpenRefine,3,220,73.33,30,0,13.81,0.0,30,13.81
OpticFusion1__MCAntiMalware,1,42,42.0,6,0,14.29,0.0,6,14.29
OrdinaryRoad-Project__ordinaryroad-live-chat-client,21,1436,68.38,10,7,0.53,0.23,10,0.53
PBH-BTN__PeerBanHelper,1,96,96.0,6,0,6.25,0.0,6,6.25
PacoVK__tapir,1,341,341.0,1,49,0.29,14.37,1,0.29
Password4j__password4j,1,5,5.0,0,0,0.0,0.0,0,0.0
PingPlusPlus__pingpp-java,1,5,5.0,0,0,0.0,0.0,0,0.0
PlayPro__CoreProtect,1,104,104.0,12,1,11.54,0.96,12,11.54
Qihoo360__hbox,4,464,116.0,43,3,8.69,0.58,43,8.69
RIPE-NCC__whois,13,858,66.0,58,29,7.73,3.8,58,7.73
RaiMan__SikuliX1,2,120,60.0,15,0,14.26,0.0,15,14.26
Randgalt__record-builder,4,24,6.0,0,0,0.0,0.0,0,0.0
RoastSlav__quickdrop,1,118,118.0,0,10,0.0,8.47,0,0.0
RumbleDB__rumble,1,229,229.0,35,0,15.28,0.0,35,15.28
SORMAS-Foundation__SORMAS-Project,6,779,129.83,27,61,2.65,6.82,27,2.65
SPARQL-Anything__sparql.anything,22,1979,89.95,87,43,4.13,2.86,87,4.13
SPuerBRead__Bridge,1,66,66.0,0,0,0.0,0.0,0,0.0
Samuel-Oliveira__Java_NFe,1,72,72.0,8,0,11.11,0.0,8,11.11
Sayi__poi-tl,6,306,51.0,16,0,4.5,0.0,16,4.5
SeaOfNodes__Simple,25,75,3.0,0,0,0.0,0.0,0,0.0
SeleniumHQ__htmlunit-driver,1,139,139.0,8,0,5.76,0.0,8,5.76
ShaftHQ__SHAFT_ENGINE,1,342,342.0,45,1,13.16,0.29,45,13.16
Slimefun__Slimefun4,1,87,87.0,8,0,9.2,0.0,8,9.2
Snailclimb__guide-rpc-framework,5,140,28.0,1,0,0.42,0.0,1,0.42
SoftInstigate__restheart,22,1056,48.0,76,23,7.64,1.59,76,7.64
SonarOpenCommunity__sonar-cxx,10,343,34.3,13,8,3.45,2.2,13,3.45
SonarSource__sonar-custom-rules-examples,3,38,12.67,0,0,0.0,0.0,0,0.0
SonarSource__sonar-scanner-cli,1,36,36.0,3,0,8.33,0.0,3,8.33
SonarSource__sonarlint-core,30,1005,33.5,34,52,1.74,5.48,34,1.74
SourceLabOrg__kafka-webview,3,229,76.33,0,0,0.0,0.0,0,0.0
SpigotMC__BungeeCord,21,763,36.33,19,0,2.6,0.0,19,2.6
StarRocks__starrocks-connector-for-apache-flink,3,225,75.0,27,0,8.44,0.0,27,8.44
Sunagatov__Iced-Latte,2,374,187.0,21,30,4.78,8.42,21,4.78
TDuckCloud__tduck-platform,7,1002,143.14,33,134,3.33,13.46,33,3.33
TFyre__bambu-farm,3,529,176.33,0,46,0.0,9.43,0,0.0
Tencent__APIJSON,1,0,0.0,0,0,0.0,0.0,0,0.0
