project,num_submodules,total_dependencies,avg_dependencies_per_submodule,total_omitted_conflicts,total_version_managed_conflicts,avg_omitted_conflict_percentage,avg_version_managed_percentage,total_conflicts,avg_conflict_percentage
cmu-phil__tetrad,3,58,19.33,2,0,1.8,0.0,2,1.8
cnescatlab__sonar-cnes-report,1,74,74.0,15,0,20.27,0.0,15,20.27
code4craft__webmagic,6,349,58.17,5,11,1.45,3.2,5,1.45
codecentric__chaos-monkey-spring-boot,7,744,106.29,0,49,0.0,6.27,0,0.0
codecentric__spring-boot-admin,12,1215,101.25,5,127,0.24,9.67,5,0.24
codelibs__fess,1,272,272.0,37,0,13.6,0.0,37,13.6
codelibs__jcifs,1,26,26.0,1,0,3.85,0.0,1,3.85
commonmark__commonmark-java,12,178,14.83,0,0,0.0,0.0,0,0.0
confluence-publisher__confluence-publisher,4,264,66.0,8,0,2.15,0.0,8,2.15
confluentinc__examples,6,958,159.67,59,102,5.33,12.64,59,5.33
confluentinc__ksql,27,10522,389.7,1097,931,8.87,7.56,1097,8.87
continew-org__continew-admin,8,2302,287.75,42,311,1.78,13.58,42,1.78
cosen1024__community,1,171,171.0,0,0,0.0,0.0,0,0.0
crate__crate,23,622,27.04,81,0,8.75,0.0,81,8.75
crawler-commons__crawler-commons,1,12,12.0,1,0,8.33,0.0,1,8.33
crossoverJie__cim,11,1179,107.18,0,139,0.0,11.8,0,0.0
cryptomator__cli,1,43,43.0,3,0,6.98,0.0,3,6.98
cryptomator__cryptomator,1,70,70.0,9,1,12.86,1.43,9,12.86
cucumber__cucumber-java-skeleton,1,30,30.0,0,1,0.0,3.33,0,0.0
cucumber__cucumber-jvm,27,1049,38.85,11,32,0.67,2.66,11,0.67
dCache__nfs4j,7,136,19.43,0,4,0.0,2.7,0,0.0
dadoonet__fscrawler,20,1885,94.25,5,222,0.13,13.49,5,0.13
damianszczepanik__cucumber-reporting,1,33,33.0,5,0,15.15,0.0,5,15.15
daoshenzzg__socket-mqtt,1,18,18.0,0,0,0.0,0.0,0,0.0
darrachequesne__spring-data-jpa-datatables,1,103,103.0,0,10,0.0,9.71,0,0.0
dasniko__keycloak-extensions-demo,18,2371,131.72,280,44,9.98,2.34,280,9.98
dasniko__testcontainers-keycloak,1,284,284.0,50,0,17.61,0.0,50,17.61
databricks__learning-spark,2,298,149.0,39,0,12.19,0.0,39,12.19
dataease__dataease,9,780,86.67,1,93,0.05,11.93,1,0.05
datafaker-net__datafaker,1,42,42.0,1,0,2.38,0.0,1,2.38
datastax__jvector,5,119,23.8,2,0,1.37,0.0,2,1.37
davidB__scala-maven-plugin,1,87,87.0,11,0,12.64,0.0,11,12.64
davidmoten__geo,2,35,17.5,0,0,0.0,0.0,0,0.0
davidmoten__rtree,1,21,21.0,2,0,9.52,0.0,2,9.52
davidmoten__rxjava-extras,1,32,32.0,1,0,3.12,0.0,1,3.12
davidmoten__rxjava-jdbc,1,28,28.0,4,0,14.29,0.0,4,14.29
davidmoten__rxjava2-jdbc,3,52,17.33,1,0,1.85,0.0,1,1.85
decentralized-identity__universal-resolver,6,246,41.0,2,2,1.03,0.32,2,1.03
deepjavalibrary__djl,1,56,56.0,5,0,8.93,0.0,5,8.93
dependency-check__dependency-check-sonar-plugin,5,71,14.2,9,0,8.48,0.0,9,8.48
dernasherbrezon__r2cloud,1,36,36.0,1,0,2.78,0.0,1,2.78
devsuperior__dslist-backend,1,91,91.0,0,8,0.0,8.79,0,0.0
dflib__dflib,11,432,39.27,17,10,2.3,2.16,17,2.3
dibo-software__diboot,10,1172,117.2,19,112,1.5,9.26,19,1.5
dice-group__gerbil,1,97,97.0,20,0,20.62,0.0,20,20.62
dicoogle__dicoogle,2,93,46.5,12,0,12.04,0.0,12,12.04
didi__KnowAgent,18,600,33.33,14,58,3.78,5.29,14,3.78
didi__KnowStreaming,1,152,152.0,0,0,0.0,0.0,0,0.0
digital-preservation__droid,12,695,57.92,30,19,1.91,2.66,30,1.91
digitalpetri__modbus,3,39,13.0,0,0,0.0,0.0,0,0.0
diguage__jdk-source-analysis,1,72,72.0,4,0,5.56,0.0,4,5.56
dnsjava__dnsjava,1,41,41.0,7,0,17.07,0.0,7,17.07
doubleDimple__oci-start,1,101,101.0,1,8,0.99,7.92,1,0.99
dromara__Jinx,1,0,0.0,0,0,0.0,0.0,0,0.0
dromara__Jpom,17,1384,81.41,33,144,1.56,10.37,33,1.56
dromara__Omega-AI,1,45,45.0,0,0,0.0,0.0,0,0.0
dromara__RuoYi-Vue-Plus,31,3656,117.94,18,510,0.35,13.55,18,0.35
dromara__dante-cloud,17,5677,333.94,20,700,0.3,12.04,20,0.3
dromara__disjob,30,2471,82.37,19,158,0.57,6.34,19,0.57
dromara__easy-query,19,266,14.0,4,3,0.27,0.23,4,0.27
dromara__forest,15,2335,155.67,57,540,2.16,20.87,57,2.16
dromara__mica-mqtt,15,461,30.73,0,32,0.0,6.59,0,0.0
dromara__neutrino-proxy,3,215,71.67,0,7,0.0,3.33,0,0.0
dromara__orion-visor,28,4412,157.57,0,639,0.0,15.58,0,0.0
dromara__tianai-captcha,1,3,3.0,0,0,0.0,0.0,0,0.0
dromara__warm-flow,13,189,14.54,1,9,0.48,4.4,1,0.48
dschadow__Java-Web-Security,12,185,15.42,7,0,2.38,0.0,7,2.38
dschadow__JavaSecurity,17,816,48.0,2,68,0.34,5.0,2,0.34
dunwu__algorithm-tutorial,1,16,16.0,0,0,0.0,0.0,0,0.0
duydo__elasticsearch-analysis-vietnamese,1,68,68.0,2,0,2.94,0.0,2,2.94
dynamicreports__dynamicreports,2,131,65.5,9,0,6.88,0.0,9,6.88
easymock__objenesis,6,56,9.33,0,0,0.0,0.0,0,0.0
ebourg__jsign,6,265,44.17,38,0,15.45,0.0,38,15.45
ebullient__ttrpg-convert-cli,1,148,148.0,0,23,0.0,15.54,0,0.0
eclipse-californium__californium,29,464,16.0,0,0,0.0,0.0,0,0.0
eclipse-collections__eclipse-collections,8,99,12.38,2,1,0.7,0.35,2,0.7
eclipse-collections__eclipse-collections-kata,20,290,14.5,0,0,0.0,0.0,0,0.0
eclipse-jnosql__jnosql,12,717,59.75,32,8,4.47,1.0,32,4.47
eclipse-lemminx__lemminx,1,28,28.0,1,0,3.57,0.0,1,3.57
eclipse-milo__milo,16,424,26.5,19,0,4.37,0.0,19,4.37
eclipse-tahu__tahu,11,200,18.18,16,0,7.93,0.0,16,7.93
eclipse-vertx__vert.x,2,102,51.0,2,5,6.1,2.69,2,6.1
eclipse-vertx__vertx-sql-client,8,328,41.0,6,11,1.69,3.12,6,1.69
egzosn__pay-java-parent,12,154,12.83,0,0,0.0,0.0,0,0.0
egzosn__pay-spring-boot-starter-parent,3,113,37.67,0,6,0.0,6.0,0,0.0
ehrbase__ehrbase,11,1653,150.27,26,180,1.55,11.81,26,1.55
eiiches__jackson-jq,3,67,22.33,0,0,0.0,0.0,0,0.0
elBukkit__MagicPlugin,17,1027,60.41,100,0,10.05,0.0,100,10.05
elastic__support-diagnostics,1,142,142.0,18,0,12.68,0.0,18,12.68
eliasnogueira__selenium-java-lean-test-architecture,1,69,69.0,4,0,5.8,0.0,4,5.8
erupts__erupt,22,1721,78.23,10,146,0.45,9.09,10,0.45
exomiser__Exomiser,8,891,111.38,30,32,3.34,3.56,30,3.34
eyesmoons__lacus,4,731,182.75,63,50,6.9,4.2,63,6.9
ezylang__EvalEx,1,14,14.0,1,0,7.14,0.0,1,7.14
fabric8io__docker-maven-plugin,14,237,16.93,26,1,1.93,0.22,26,1.93
facebook__facebook-java-business-sdk,2,45,22.5,6,0,9.09,0.0,6,9.09
fanyong920__jvppeteer,2,16,8.0,1,0,5.0,0.0,1,5.0
fast-excel__fastexcel,2,169,84.5,14,1,4.19,0.3,14,4.19
fayechenlong__plumelog,19,984,51.79,28,52,2.49,2.88,28,2.49
fcrepo__fcrepo,18,2350,130.56,4,104,0.11,4.32,4,0.11
fellow-me__hrm,1,179,179.0,0,0,0.0,0.0,0,0.0
find-sec-bugs__find-sec-bugs,2,53,26.5,2,1,1.96,0.98,2,1.96
finmath__finmath-lib,1,13,13.0,0,0,0.0,0.0,0,0.0
firebase__firebase-admin-java,1,112,112.0,4,8,3.57,7.14,4,3.57
fizzed__rocker,4,52,13.0,2,1,1.52,0.76,2,1.52
fizzgate__fizz-gateway-node,4,885,221.25,0,0,0.0,0.0,0,0.0
flamingock__mongock,5,145,29.0,3,0,1.3,0.0,3,1.3
flapdoodle-oss__de.flapdoodle.embed.process,1,41,41.0,0,0,0.0,0.0,0,0.0
flipkart-incubator__zjsonpatch,1,16,16.0,0,0,0.0,0.0,0,0.0
flyingsaucerproject__flyingsaucer,6,198,33.0,10,4,5.09,1.42,10,5.09
forcedotcom__dataloader,2,72,36.0,4,0,12.5,0.0,4,12.5
forcedotcom__wsc,1,12,12.0,1,0,8.33,0.0,1,8.33
forge__roaster,3,20,6.67,4,0,7.84,0.0,4,7.84
fpompermaier__onvif,2,198,99.0,18,0,8.68,0.0,18,8.68
freechat-fun__freechat,6,522,87.0,9,72,1.91,8.89,9,1.91
freeok__so-novel,1,75,75.0,4,0,5.33,0.0,4,5.33
fushengqian__fuint,4,640,160.0,0,0,0.0,0.0,0,0.0
fushengqian__fuintCatering,4,623,155.75,0,0,0.0,0.0,0,0.0
gaarason__database-all,13,410,31.54,2,33,0.19,4.18,2,0.19
gaul__modernizer-maven-plugin,4,53,13.25,5,0,2.36,0.0,5,2.36
gaul__s3proxy,1,144,144.0,24,0,16.67,0.0,24,16.67
geekidea__spring-boot-plus,1,222,222.0,8,24,3.6,10.81,8,3.6
gf-huanchupk__SpringBootLearning,24,2018,84.08,0,0,0.0,0.0,0,0.0
ghostxbh__uzy-ssm-mall,1,127,127.0,0,0,0.0,0.0,0,0.0
git-commit-id__git-commit-id-maven-plugin,1,63,63.0,4,0,6.35,0.0,4,6.35
git-moss__ConvertWithMoss,1,8,8.0,0,0,0.0,0.0,0,0.0
git-moss__DrivenByMoss,1,12,12.0,0,0,0.0,0.0,0,0.0
gluonhq__gluon-samples,23,377,16.39,30,0,7.57,0.0,30,7.57
gluonhq__gluonfx-maven-plugin,1,36,36.0,4,0,11.11,0.0,4,11.11
gluonhq__scenebuilder,3,77,25.67,5,0,3.4,0.0,5,3.4
google__TestParameterInjector,2,39,19.5,7,0,19.58,0.0,7,19.58
google__adk-java,6,1346,224.33,126,55,9.6,3.88,126,9.6
google__auto,6,204,34.0,20,1,12.24,0.24,20,12.24
google__compile-testing,1,15,15.0,3,0,20.0,0.0,3,20.0
google__google-java-format,1,20,20.0,1,0,5.0,0.0,1,5.0
google__gson,6,110,18.33,12,0,12.03,0.0,12,12.03
google__guice,1,19,19.0,4,0,21.05,0.0,4,21.05
google__j2objc,1,0,0.0,0,0,0.0,0.0,0,0.0
google__jimfs,1,16,16.0,1,0,6.25,0.0,1,6.25
google__mug,8,373,46.62,22,58,7.59,12.01,22,7.59
google__open-location-code,1,3,3.0,0,0,0.0,0.0,0,0.0
google__truth,4,116,29.0,1,0,0.34,0.0,1,0.34
googleads__googleads-java-lib,6,651,108.5,66,0,9.7,0.0,66,9.7
googleapis__google-api-java-client,9,242,26.89,19,7,8.08,3.33,19,8.08
googleapis__google-http-java-client,14,293,20.93,5,11,0.96,2.18,5,0.96
googleapis__google-oauth-java-client,7,150,21.43,14,10,9.46,6.8,14,9.46
graphhopper__graphhopper,10,819,81.9,1,16,0.05,2.49,1,0.05
graphhopper__jsprit,2,42,21.0,2,0,4.0,0.0,2,4.0
greenmail-mail-test__greenmail,6,157,26.17,0,10,0.0,5.05,0,0.0
grishka__Smithereen,1,50,50.0,1,0,2.0,0.0,1,2.0
groovy__GMavenPlus,1,66,66.0,4,0,6.06,0.0,4,6.06
gruelbox__transaction-outbox,7,475,67.86,7,44,1.69,2.77,7,1.69
hantsy__spring-reactive-jwt-sample,1,127,127.0,0,7,0.0,5.51,0,0.0
hantsy__spring-webmvc-jwt-sample,1,125,125.0,0,15,0.0,12.0,0,0.0
happyfish100__fastdfs-client-java,1,6,6.0,0,0,0.0,0.0,0,0.0
haraldk__TwelveMonkeys,25,399,15.96,1,0,0.1,0.0,1,0.1
hawtio__hawtio,21,2147,102.24,31,268,2.81,8.81,31,2.81
helge17__tuxguitar,5,33,6.6,0,0,0.0,0.0,0,0.0
heroku__devcenter-embedded-tomcat,1,15,15.0,0,0,0.0,0.0,0,0.0
heroku__webapp-runner,3,106,35.33,3,0,1.89,0.0,3,1.89
hibernate__hibernate-tools,7,295,42.14,13,0,2.87,0.0,13,2.87
hneemann__Digital,1,39,39.0,1,0,2.56,0.0,1,2.56
houbb__sensitive-word,1,9,9.0,0,0,0.0,0.0,0,0.0
hprose__hprose-java,7,20,2.86,0,0,0.0,0.0,0,0.0
hs-web__hsweb-easy-orm,2,106,53.0,7,1,4.12,0.59,7,4.12
hs-web__hsweb-framework,16,1616,101.0,1,182,0.09,10.79,1,0.09
huanzi-qch__base-admin,1,105,105.0,0,0,0.0,0.0,0,0.0
hub4j__github-api,1,85,85.0,1,7,1.18,8.24,1,1.18
huhuics__joice,6,212,35.33,13,7,4.96,2.49,13,4.96
hydromatic__morel,1,62,62.0,8,0,12.9,0.0,8,12.9
hzxie__voj,2,115,57.5,9,0,7.85,0.0,9,7.85
iczelia__kamilalisp,1,45,45.0,2,0,4.44,0.0,2,4.44
iflytek__datasophon,3,215,71.67,4,25,1.25,11.93,4,1.25
igniterealtime__Spark,18,829,46.06,18,0,2.17,0.0,18,2.17
imfangs__dify-java-client,1,26,26.0,2,0,7.69,0.0,2,7.69
imglib__imglib2,1,8,8.0,0,0,0.0,0.0,0,0.0
imixs__imixs-workflow,6,456,76.0,8,0,1.67,0.0,8,1.67
in28minutes__master-spring-and-spring-boot,13,1046,80.46,1,74,0.07,7.1,1,0.07
influxdata__influxdb-client-java,10,363,36.3,2,10,0.35,3.1,2,0.35
influxdata__influxdb-java,1,32,32.0,3,0,9.38,0.0,3,9.38
internetarchive__heritrix3,4,399,99.75,15,0,3.76,0.0,15,3.76
intoolswetrust__jsignpdf,2,20,10.0,0,0,0.0,0.0,0,0.0
intuit__fuzzy-matcher,1,17,17.0,1,0,5.88,0.0,1,5.88
iohao__ioGame,17,662,38.94,30,0,5.01,0.0,30,5.01
itext__rups,1,40,40.0,7,0,17.5,0.0,7,17.5
ittqqzz__ECommerceRecommendSystem,1,84,84.0,5,0,5.95,0.0,5,5.95
itwanger__paicoding,1,83,83.0,2,12,2.41,14.46,2,2.41
izpack__izpack,16,512,32.0,16,15,1.45,1.64,16,1.45
jMetal__jMetal,7,172,24.57,5,0,2.59,0.0,5,2.59
jOOQ__jOOQ,15,191,12.73,13,6,2.78,2.41,13,2.78
jakartaee__cdi,3,16,5.33,0,0,0.0,0.0,0,0.0
jakartaee__mail-api,1,5,5.0,0,0,0.0,0.0,0,0.0
jakartaee__servlet,3,97,32.33,0,6,0.0,2.27,0,0.0
jamebal__jmal-cloud-server,1,254,254.0,11,18,4.33,7.09,11,4.33
jane-cloud__Open-API-SDK-V5,2,103,51.5,13,0,8.66,0.0,13,8.66
jar-analyzer__jar-analyzer,3,67,22.33,3,0,1.49,0.0,3,1.49
jar-analyzer__jar-obfuscator,1,6,6.0,0,0,0.0,0.0,0,0.0
java-diff-utils__java-diff-utils,2,22,11.0,0,0,0.0,0.0,0,0.0
javadev__underscore-java,3,94,31.33,0,3,0.0,1.3,0,0.0
javaee__javamail,12,46,3.83,0,0,0.0,0.0,0,0.0
javamelody__javamelody,7,242,34.57,21,3,2.56,0.77,21,2.56
javaparser__javaparser,5,30,6.0,0,0,0.0,0.0,0,0.0
jborgers__sonar-pmd,6,140,23.33,11,2,3.69,0.56,11,3.69
jboss-modules__jboss-modules,1,6,6.0,0,0,0.0,0.0,0,0.0
jcabi__jcabi-aspects,5,119,23.8,2,7,1.54,4.91,2,1.54
jcabi__jcabi-github,3,161,53.67,10,2,7.73,0.74,10,7.73
jcabi__jcabi-ssh,1,45,45.0,2,1,4.44,2.22,2,4.44
jd-opensource__joyagent-jdgenie,1,85,85.0,0,9,0.0,10.59,0,0.0
jdbc-observations__datasource-proxy,1,27,27.0,1,0,3.7,0.0,1,3.7
jdereg__java-util,1,22,22.0,2,0,9.09,0.0,2,9.09
jdereg__json-io,1,20,20.0,2,0,10.0,0.0,2,10.0
jeecgboot__JeecgBoot,17,4596,270.35,180,649,3.86,13.99,180,3.86
jeecgboot__autopoi,2,66,33.0,0,1,0.0,1.47,0,0.0
jeequan__jeepay,8,708,88.5,5,100,0.6,12.95,5,0.6
jenkinsci__ansible-plugin,1,276,276.0,6,36,2.17,13.04,6,2.17
jenkinsci__ansicolor-plugin,1,194,194.0,4,19,2.06,9.79,4,2.06
jenkinsci__bitbucket-branch-source-plugin,1,337,337.0,21,42,6.23,12.46,21,6.23
jenkinsci__build-monitor-plugin,2,638,319.0,14,46,2.21,7.16,14,2.21
jenkinsci__cucumber-reports-plugin,1,169,169.0,3,8,1.78,4.73,3,1.78
jenkinsci__dingtalk-plugin,1,154,154.0,0,9,0.0,5.84,0,0.0
jenkinsci__docker-plugin,1,366,366.0,13,42,3.55,11.48,13,3.55
jenkinsci__docker-workflow-plugin,1,296,296.0,9,45,3.04,15.2,9,3.04
jenkinsci__ec2-plugin,1,361,361.0,9,25,2.49,6.93,9,2.49
jenkinsci__generic-webhook-trigger-plugin,1,191,191.0,3,8,1.57,4.19,3,1.57
jenkinsci__gerrit-trigger-plugin,1,342,342.0,10,23,2.92,6.73,10,2.92
jenkinsci__git-plugin,1,346,346.0,12,30,3.47,8.67,12,3.47
jenkinsci__gitea-plugin,1,243,243.0,5,31,2.06,12.76,5,2.06
jenkinsci__github-branch-source-plugin,1,340,340.0,12,39,3.53,11.47,12,3.53
jenkinsci__github-plugin,1,333,333.0,12,36,3.6,10.81,12,3.6
jenkinsci__gitlab-plugin,1,444,444.0,19,34,4.28,7.66,19,4.28
jenkinsci__jenkinsfile-runner,4,603,150.75,15,49,1.54,7.7,15,1.54
jenkinsci__kubernetes-plugin,1,428,428.0,13,34,3.04,7.94,13,3.04
jenkinsci__lib-file-leak-detector,1,22,22.0,0,0,0.0,0.0,0,0.0
jenkinsci__pipeline-utility-steps-plugin,1,220,220.0,4,9,1.82,4.09,4,1.82
jenkinsci__remoting,1,38,38.0,0,1,0.0,2.63,0,0.0
jenkinsci__slack-plugin,1,312,312.0,2,21,0.64,6.73,2,0.64
jenkinsci__warnings-ng-plugin,2,671,335.5,52,33,7.78,4.04,52,7.78
jenkinsci__workflow-cps-global-lib-plugin,1,208,208.0,5,26,2.4,12.5,5,2.4
jetlinks__reactor-ql,1,31,31.0,1,0,3.23,0.0,1,3.23
jetlinks__rule-engine,3,360,120.0,0,33,0.0,9.14,0,0.0
jfinal__jfinal,1,66,66.0,2,0,3.03,0.0,2,3.03
jhipster__jhipster-online,1,196,196.0,1,11,0.51,5.61,1,0.51
jhonnymertz__java-wkhtmltopdf-wrapper,1,20,20.0,0,0,0.0,0.0,0,0.0
jhy__jsoup,1,22,22.0,0,0,0.0,0.0,0,0.0
jiangxincode__ApkToolBoxGUI,1,63,63.0,9,0,14.29,0.0,9,14.29
jiaqi__jmxterm,1,34,34.0,6,0,17.65,0.0,6,17.65
jishenghua__jshERP,1,123,123.0,0,0,0.0,0.0,0,0.0
jitsi__ice4j,1,64,64.0,15,0,23.44,0.0,15,23.44
jitsi__jigasi,1,274,274.0,33,0,12.04,0.0,33,12.04
jitsi__libjitsi,1,37,37.0,4,0,10.81,0.0,4,10.81
jmockit__jmockit1,1,36,36.0,2,0,5.56,0.0,2,5.56
jmrozanec__cron-utils,1,34,34.0,2,2,5.88,5.88,2,5.88
jobmission__oauth2-server,1,133,133.0,2,20,1.5,15.04,2,1.5
joey-zhou__xiaozhi-esp32-server-java,1,256,256.0,11,28,4.3,10.94,11,4.3
jolokia__jolokia,22,565,25.68,4,40,0.53,7.54,4,0.53
jonashackt__spring-boot-vuejs,1,157,157.0,0,12,0.0,7.64,0,0.0
joniles__mpxj,1,27,27.0,0,0,0.0,0.0,0,0.0
jorabin__KeePassJava2,10,252,25.2,0,6,0.0,2.05,0,0.0
jplag__JPlag,25,726,29.04,39,0,3.24,0.0,39,3.24
jpmml__jpmml-evaluator,6,134,22.33,1,10,0.64,8.38,1,0.64
jpmml__jpmml-sklearn,8,239,29.88,17,0,6.21,0.0,17,6.21
jpmml__jpmml-sparkml,5,886,177.2,98,1,8.97,0.09,98,8.97
jqno__equalsverifier,5,57,11.4,4,0,3.98,0.0,4,3.98
jsnjfz__WebStack-Guns,1,130,130.0,0,0,0.0,0.0,0,0.0
jtablesaw__tablesaw,9,336,37.33,16,5,2.71,1.47,16,2.71
juejin-wuyang__memberclub,2,155,77.5,6,27,3.47,16.08,6,3.47
junit-team__junit-examples,2,19,9.5,0,0,0.0,0.0,0,0.0
junit-team__junit4,1,3,3.0,0,0,0.0,0.0,0,0.0
justauth__JustAuth,1,22,22.0,0,0,0.0,0.0,0,0.0
jxlsteam__jxls,2,46,23.0,2,0,3.34,0.0,2,3.34
kN6jq__gatherBurp,1,17,17.0,1,0,5.88,0.0,1,5.88
kairosdb__kairosdb,1,110,110.0,9,0,8.18,0.0,9,8.18
kangarko__Foundation,1,69,69.0,8,0,11.59,0.0,8,11.59
kanton-bern__hellodata-be,20,3200,160.0,29,251,1.03,7.02,29,1.03
karatelabs__karate,8,822,102.75,54,29,6.07,2.42,54,6.07
kerwincui__FastBee,19,495,26.05,6,89,0.32,10.71,6,0.32
keycloak__keycloak-quickstarts,2,537,268.5,81,52,16.2,8.49,81,16.2
killme2008__aviatorscript,1,16,16.0,0,0,0.0,0.0,0,0.0
kingston-csj__jforgame,4,25,6.25,0,4,0.0,16.7,0,0.0
kiooeht__ModTheSpire,1,22,22.0,0,0,0.0,0.0,0,0.0
kishanrajput23__Java-Projects-Collections,7,162,23.14,3,9,3.79,0.97,3,3.79
krasa__StringManipulation,1,9,9.0,0,0,0.0,0.0,0,0.0
kronotop__kronotop,2,65,32.5,5,0,5.82,0.0,5,5.82
kruize__autotune,1,159,159.0,21,0,13.21,0.0,21,13.21
ktuukkan__marine-api,1,5,5.0,0,0,0.0,0.0,0,0.0
kuaidi100-api__java-demo,1,12,12.0,2,0,16.67,0.0,2,16.67
kubernetes-client__java,16,1360,85.0,127,2,6.55,0.16,127,6.55
kumuluz__kumuluzee,18,482,26.78,4,10,0.55,1.54,4,0.55
labsai__EDDI,1,400,400.0,5,57,1.25,14.25,5,1.25
laigeoffer__pmhub,21,3073,146.33,10,421,0.27,13.4,10,0.27
lakesoul-io__LakeSoul,5,728,145.6,88,0,7.97,0.0,88,7.97
langchain4j__langchain4j-spring,15,1296,86.4,10,219,0.57,17.15,10,0.57
laowenruo__Spring-Blog,1,112,112.0,0,0,0.0,0.0,0,0.0
larksuite__oapi-sdk-java,2,25,12.5,2,0,4.35,0.0,2,4.35
lealone__Lealone,10,46,4.6,0,0,0.0,0.0,0,0.0
leck995__WutheringWavesTool,1,41,41.0,3,0,7.32,0.0,3,7.32
leonchen83__redis-rdb-cli,1,36,36.0,4,0,11.11,0.0,4,11.11
leonchen83__redis-replicator,1,13,13.0,1,0,7.69,0.0,1,7.69
lets-mica__mica,20,978,48.9,0,110,0.0,10.96,0,0.0
lhccong__fish-island-backend,1,314,314.0,20,61,6.37,19.43,20,6.37
librespot-org__librespot-java,7,169,24.14,17,0,7.37,0.0,17,7.37
lijiahangmax__orion-ops,3,292,97.33,0,0,0.0,0.0,0,0.0
lilishop__lilishop,2,417,208.5,0,0,0.0,0.0,0,0.0
line__line-bot-sdk-java,1,79,79.0,13,0,16.46,0.0,13,16.46
linkedin__URL-Detector,1,7,7.0,0,0,0.0,0.0,0,0.0
linpeilie__mapstruct-plus,8,249,31.12,0,21,0.0,5.31,0,0.0
linyimin0812__spring-startup-analyzer,9,155,17.22,8,0,3.38,0.0,8,3.38
liquibase__liquibase,5,520,104.0,26,10,4.74,1.95,26,4.74
liquibase__liquibase-hibernate,1,101,101.0,4,4,3.96,3.96,4,3.96
liuyueyi__quick-media,11,289,26.27,10,10,1.79,4.11,10,1.79
liyupi__yu-ai-agent,2,264,132.0,3,25,0.87,9.04,3,0.87
liyupi__yu-ai-code-mother,1,238,238.0,5,50,2.1,21.01,5,2.1
liyupi__yu-rpc,8,241,30.12,14,12,2.69,3.04,14,2.69
lmxdawn__vue-admin-java,1,3,3.0,0,0,0.0,0.0,0,0.0
logfellow__logstash-logback-encoder,1,32,32.0,2,0,6.25,0.0,2,6.25
loiane__crud-angular-spring,1,127,127.0,0,9,0.0,7.09,0,0.0
loks666__get_jobs,1,77,77.0,0,0,0.0,0.0,0,0.0
lucee__Lucee,2,178,89.0,10,0,5.62,0.0,10,5.62
lucky-aeon__AgentX,1,292,292.0,9,22,3.08,7.53,9,3.08
lukas-krecan__JsonUnit,7,168,24.0,9,0,3.73,0.0,9,3.73
lwjglgamedev__vulkanbook,23,336,14.61,0,0,0.0,0.0,0,0.0
lyrric__seckill,1,9,9.0,1,0,11.11,0.0,1,11.11
mabe02__lanterna,2,50,25.0,0,0,0.0,0.0,0,0.0
macrozheng__mall,2,327,163.5,6,31,1.84,9.46,6,1.84
making__oauth2-sso-demo,4,554,138.5,9,42,1.55,7.57,9,1.55
making__yavi,1,30,30.0,5,0,16.67,0.0,5,16.67
makunet__maku-boot,2,232,116.0,1,34,0.26,9.82,1,0.26
maliangnansheng__bbs-springboot,2,61,30.5,0,0,0.0,0.0,0,0.0
mangstadt__biweekly,1,12,12.0,0,0,0.0,0.0,0,0.0
marcosbarbero__spring-cloud-zuul-ratelimit,9,1351,150.11,0,0,0.0,0.0,0,0.0
mariadb-corporation__mariadb-connector-j,1,66,66.0,3,2,4.55,3.03,3,4.55
mark-watson__Java-AI-Book-Code,13,109,8.38,8,0,2.07,0.0,8,2.07
martinpaljak__GlobalPlatformPro,3,47,15.67,0,3,0.0,7.2,0,0.0
martinpaljak__ant-javacard,2,10,5.0,1,0,8.34,0.0,1,8.34
matteobaccan__owner,5,48,9.6,1,0,0.69,0.0,1,0.69
mattwright324__youtube-comment-suite,1,35,35.0,4,0,11.43,0.0,4,11.43
maven-nar__nar-maven-plugin,1,0,0.0,0,0,0.0,0.0,0,0.0
maxiaof__github-hosts,1,2,2.0,0,0,0.0,0.0,0,0.0
maxmind__GeoIP2-java,1,70,70.0,7,0,10.0,0.0,7,10.0
mcMMO-Dev__mcMMO,1,125,125.0,20,0,16.0,0.0,20,16.0
membrane__api-gateway,10,83,8.3,1,3,0.45,1.36,1,0.45
memo012__ac-blog,1,170,170.0,0,0,0.0,0.0,0,0.0
mesutpiskin__keycloak-2fa-email-authenticator,1,174,174.0,21,0,12.07,0.0,21,12.07
metersphere__metersphere,15,6346,423.07,327,751,4.89,12.79,327,4.89
microcks__microcks,7,1015,145.0,4,170,0.25,16.14,4,0.25
microprofile__microprofile,1,24,24.0,2,0,8.33,0.0,2,8.33
microsoft__azure-tools-for-java,17,1767,103.94,96,178,5.35,10.09,96,5.35
microsoft__gctoolkit,5,88,17.6,0,0,0.0,0.0,0,0.0
microsoft__mssql-jdbc,1,91,91.0,22,0,24.18,0.0,22,24.18
microsoft__playwright-java,9,84,9.33,1,0,0.74,0.0,1,0.74
microsoft__vscode-java-test,5,72,14.4,7,0,3.18,0.0,7,3.18
mikepound__tls-exercises,1,0,0.0,0,0,0.0,0.0,0,0.0
milvus-io__milvus-sdk-java,3,452,150.67,38,7,7.62,2.31,38,7.62
mock-server__mockserver,11,409,37.18,0,23,0.0,6.81,0,0.0
modelcontextprotocol__java-sdk,4,292,73.0,34,0,12.18,0.0,34,12.18
moditect__moditect,5,124,24.8,4,8,2.01,5.08,4,2.01
