Library_Name,Count,Percentage
com.alibaba.spring:spring-context-support,485,0.03216500315018072
org.objenesis:objenesis,472,0.03130284842656763
io.kotest:kotest-assertions-core-jvm,470,0.03117020923831946
net.sourceforge.owlapi:owlapi-oboformat,462,0.03063965248532679
io.kotest:kotest-framework-api-jvm,458,0.030374374108830454
io.rest-assured:rest-assured-common,455,0.0301754153264582
org.apache.activemq:activemq-openwire-legacy,453,0.030042776138210034
io.grpc:grpc-util,449,0.0297774977617137
commons-codec:commons-codec,449,0.0297774977617137
org.noear:solon-net-httputils,436,0.028915343038100606
io.netty:netty-codec-dns,432,0.028650064661604267
io.gatling:gatling-http,422,0.027986868720363434
net.openhft:chronicle-bytes,417,0.02765527074974301
cn.hutool:hutool-core,413,0.027389992373246675
net.openhft:chronicle-core,412,0.027323672779122593
com.aizuda:snail-job-server-web,412,0.027323672779122593
io.gatling:gatling-jms,404,0.02679311602612992
com.jcabi:jcabi-aspects,401,0.026594157243757667
org.jacoco:org.jacoco.core,396,0.02626255927313725
org.apache.camel:camel-util,390,0.025864641708392748
io.grpc:grpc-netty,385,0.025533043737772324
jakarta.annotation:jakarta.annotation-api,384,0.02546672414364824
org.eclipse.jetty:jetty-client,383,0.025400404549524157
org.apache.maven:maven-core,383,0.025400404549524157
org.codehaus.groovy:groovy,380,0.025201445767151907
org.apache.seatunnel:seatunnel-common,378,0.025068806578903736
org.apache.poi:poi,375,0.024869847796531484
org.openjdk.jmh:jmh-core,372,0.02467088901415923
io.vertx:vertx-codegen,370,0.024538249825911067
org.springframework.boot:spring-boot,370,0.024538249825911067
org.apache.spark:spark-sql_2.13,364,0.02414033226116656
com.alibaba.nacos:nacos-client,360,0.023875053884670226
org.antlr:antlr4-runtime,342,0.022681301190436712
org.jboss.logging:jboss-logging,339,0.022482342408064463
org.hamcrest:hamcrest-core,336,0.02228338362569221
com.baomidou:mybatis-plus-annotation,328,0.02175282687269954
software.amazon.awssdk:http-auth-aws,320,0.021222270119706867
org.rocksdb:rocksdbjni,316,0.020956991743210533
org.bouncycastle:bcutil-jdk18on,313,0.02075803296083828
com.github.javaparser:javaparser-core,313,0.02075803296083828
org.dromara.warm:warm-flow-core,310,0.020559074178466027
net.openhft:chronicle-wire,308,0.02042643499021786
io.rest-assured:xml-path,306,0.020293795801969692
org.roaringbitmap:RoaringBitmap,304,0.020161156613721525
org.jboss.weld:weld-spi,304,0.020161156613721525
com.google.http-client:google-http-client,303,0.02009483701959744
org.apache.sshd:sshd-scp,301,0.01996219783134927
org.eclipse.sisu:org.eclipse.sisu.plexus,301,0.01996219783134927
software.amazon.awssdk:regions,296,0.01963059986072885
org.springframework:spring-beans,293,0.019431641078356602
org.springdoc:springdoc-openapi-common,285,0.01890108432536393
io.rsocket:rsocket-core,284,0.018834764731239847
org.jetbrains:annotations,275,0.018237888384123088
cn.herodotus.engine:data-core,274,0.018171568789999006
org.apache.lucene:lucene-sandbox,274,0.018171568789999006
org.hibernate.common:hibernate-commons-annotations,274,0.018171568789999006
org.apache.flink:flink-streaming-java_2.12,273,0.01810524919587492
org.jboss.weld:weld-api,273,0.01810524919587492
org.seleniumhq.selenium:selenium-os,268,0.017773651225254504
org.jodd:jodd-core,264,0.017508372848758166
org.apache.commons:commons-vfs2,260,0.01724309447226183
org.apache.curator:curator-recipes,257,0.017044135689889578
org.jetbrains.lets-plot:lets-plot-batik,248,0.016447259342772823
org.apache.flink:flink-shaded-asm-9,247,0.016380939748648737
io.kotest:kotest-framework-engine-jvm,246,0.016314620154524655
commons-beanutils:commons-beanutils,240,0.01591670258978015
com.google.api.grpc:proto-google-cloud-pubsub-v1,238,0.015784063401531982
io.kotest:kotest-extensions-jvm,234,0.015518785025035647
de.codecentric:spring-boot-admin-server,230,0.015253506648539313
org.htmlunit:neko-htmlunit,230,0.015253506648539313
com.google.api.grpc:gapic-google-cloud-storage-v2,224,0.014855589083794807
org.apache.rocketmq:rocketmq-client,219,0.014523991113174387
org.eclipse.jetty.ee10:jetty-ee10-webapp,219,0.014523991113174387
org.springframework.boot:spring-boot-configuration-processor,218,0.014457671519050303
com.google.errorprone:error_prone_annotations,217,0.01439135192492622
com.sun.xml.fastinfoset:FastInfoset,217,0.01439135192492622
net.sourceforge.owlapi:owlapi-rio,216,0.014325032330802134
org.eclipse.jetty.websocket:jetty-websocket-core-common,215,0.014258712736678052
com.alibaba.cloud.ai:spring-ai-alibaba-core,208,0.013794475577809462
org.apache.commons:commons-jexl3,205,0.013595516795437211
com.alibaba.cloud:spring-cloud-alibaba-sentinel-datasource,200,0.01326391882481679
net.sf.saxon:Saxon-HE,200,0.01326391882481679
io.vertx:vertx-auth-common,199,0.013197599230692709
org.codehaus.jettison:jettison,194,0.012866001260072289
com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,192,0.01273336207182412
net.sf.jopt-simple:jopt-simple,192,0.01273336207182412
software.amazon.awssdk:checksums,190,0.012600722883575954
org.apache.maven.shared:file-management,189,0.012534403289451868
org.gridkit.lab:vicluster-core,189,0.012534403289451868
org.apache.maven:maven-model-builder,188,0.012468083695327785
io.kotest:kotest-assertions-shared-jvm,188,0.012468083695327785
com.google.flogger:flogger,188,0.012468083695327785
org.springframework.data:spring-data-keyvalue,186,0.012335444507079615
com.aizuda:snail-job-server-job-task,186,0.012335444507079615
org.htmlunit:htmlunit-core-js,183,0.012136485724707364
io.etcd:jetcd-core,183,0.012136485724707364
org.apache.tinkerpop:gremlin-language,180,0.011937526942335113
org.graalvm.shadowed:icu4j,178,0.011804887754086944
com.baidu:jprotobuf,176,0.011672248565838777
org.springframework.hateoas:spring-hateoas,175,0.011605928971714693
org.ow2.asm:asm-tree,174,0.011539609377590609
org.apache.tomcat:tomcat-annotations-api,172,0.011406970189342442
org.seleniumhq.selenium:selenium-support,169,0.01120801140697019
org.apache.spark:spark-graphx_2.10,167,0.011075372218722021
com.github.pagehelper:pagehelper,166,0.011009052624597938
software.amazon.awssdk:auth,161,0.010677454653977517
org.elasticsearch:elasticsearch-geo,161,0.010677454653977517
io.quarkus:quarkus-test-common,160,0.010611135059853434
com.fasterxml:classmate,157,0.010412176277481183
org.springframework.security:spring-security-crypto,157,0.010412176277481183
io.grpc:grpc-stub,157,0.010412176277481183
com.fasterxml.jackson.datatype:jackson-datatype-jdk8,156,0.010345856683357097
org.eclipse.jetty.ee10:jetty-ee10-annotations,156,0.010345856683357097
com.github.ben-manes.caffeine:caffeine,156,0.010345856683357097
org.apache.camel:camel-core-engine,156,0.010345856683357097
org.jetbrains.kotlin:kotlin-stdlib-jdk7,154,0.01021321749510893
org.eclipse.jetty.ee10:jetty-ee10-plus,154,0.01021321749510893
io.netty:netty-transport-classes-epoll,152,0.010080578306860762
org.openjdk.jol:jol-core,152,0.010080578306860762
org.apache.httpcomponents:httpcore,151,0.010014258712736677
org.apache.dubbo:dubbo-rpc-api,151,0.010014258712736677
org.apache.hadoop:hadoop-yarn-server-common,151,0.010014258712736677
org.springframework:spring-test,150,0.009947939118612595
ch.qos.reload4j:reload4j,150,0.009947939118612595
org.apache.spark:spark-network-shuffle_2.10,148,0.009815299930364426
net.java.dev.jna:jna,148,0.009815299930364426
org.apache.flink:flink-table-api-java,147,0.009748980336240342
org.apache.maven.resolver:maven-resolver-spi,147,0.009748980336240342
org.hibernate.search:hibernate-search-backend-lucene,145,0.009616341147992175
org.apache.commons:commons-dbcp2,144,0.00955002155386809
org.apache.dubbo:dubbo-registry-api,144,0.00955002155386809
org.apache.httpcomponents.client5:httpclient5,141,0.009351062771495838
com.alibaba.nacos:nacos-api,140,0.009284743177371754
io.smallrye.reactive:mutiny,140,0.009284743177371754
org.codehaus.jackson:jackson-core-asl,140,0.009284743177371754
