Module,Has_Used_Breaking_Changes,Count
hawtio__hawtio_hawtio-embedded,Yes,2
hawtio__hawtio_hawtio-test-suite,Yes,1
hs-web__hsweb-framework_hsweb-core,Yes,5
igniterealtime__Spark_otr,Yes,2
internetarchive__heritrix3_contrib,Yes,4
intoolswetrust__jsignpdf_jsignpdf,Yes,16
itwanger__paicoding_paicoding-core,Yes,8
Jaspersoft__jasperreports_ejbql,Yes,1
Jaspersoft__jasperreports_javascript,Yes,8
Jaspersoft__jasperreports_pdf,Yes,61
jeequan__jeepay_jeepay-components-mq,Yes,1
jeequan__jeepay_jeepay-components-oss,Yes,2
jeequan__jeepay_jeepay-core,Yes,15
jeequan__jeepay_jeepay-z-codegen,Yes,44
jetlinks__reactor-ql_jetlinks__reactor-ql,Yes,91
jiaqi__jmxterm_jiaqi__jmxterm,Yes,2
jpmml__jpmml-sparkml_pmml-sparkml-lightgbm,Yes,1
jtablesaw__tablesaw_html,Yes,4
juejin-wuyang__memberclub_memberclub.infrastructure,Yes,13
juejin-wuyang__memberclub_memberclub.starter,Yes,20
jxlsteam__jxls_jxls-poi,Yes,14
kagkarlsson__db-scheduler_db-scheduler,Yes,3
kanton-bern__hellodata-be_hello-data-nats-spring,Yes,4
kanton-bern__hellodata-be_hello-data-portal-api,Yes,6
karatelabs__karate_karate-demo,Yes,9
karatelabs__karate_karate-robot,Yes,28
karatelabs__karate_payment-consumer,Yes,1
kingston-csj__jforgame_jforgame-commons,Yes,2
kingston-csj__jforgame_jforgame-demo,Yes,15
kingston-csj__jforgame_jforgame-orm,Yes,2
kingston-csj__jforgame_jforgame-socket-mina,Yes,2
kingston-csj__jforgame_jforgame-socket-netty,Yes,40
kumuluz__kumuluzee_jersey,Yes,1
kumuluz__kumuluzee_jetty,Yes,2
laigeoffer__pmhub_pmhub-base-notice,Yes,16
laigeoffer__pmhub_pmhub-framework,Yes,8
laigeoffer__pmhub_pmhub-oa,Yes,16
laigeoffer__pmhub_pmhub-workflow,Yes,4
laowenruo__Spring-Blog_laowenruo__Spring-Blog,Yes,3
linyimin0812__spring-startup-analyzer_spring-startup-cli,Yes,4
liquibase__liquibase-hibernate_liquibase__liquibase-hibernate,Yes,1
LiuYuYang01__ThriveX-Server_blog,Yes,232
LiuYuYang01__ThriveX-Server_model,Yes,22
LuckyPuppy514__jproxy_LuckyPuppy514__jproxy,Yes,85
mabe02__lanterna_native-integration,Yes,6
makunet__maku-boot_maku-boot-system,Yes,4
makunet__maku-boot_maku-framework,Yes,7
MarcGiffing__bucket4j-spring-boot-starter_general-tests,Yes,2
microsoft__gctoolkit_vertx,Yes,10
moditect__moditect_core,Yes,6
moditect__moditect_vert.x,Yes,6
mojohaus__versions_versions-common,Yes,2
mojohaus__versions_versions-enforcer,Yes,1
mongojack__mongojack_mongojack__mongojack,Yes,4
nitrite__nitrite-java_nitrite-jackson-mapper,Yes,3
nitrite__nitrite-java_nitrite-support,Yes,3
nutzam__nutz_nutzdemo,Yes,9
ontodev__robot_robot-command,Yes,31
ontodev__robot_robot-mock-plugin,Yes,4
ontop__ontop_cli,Yes,14
ontop__ontop_plugin,Yes,2
opengoofy__crane4j_crane4j-extension-jackson,Yes,2
opengoofy__crane4j_crane4j-extension-mybatis-plus,Yes,1
opengoofy__crane4j_crane4j-mybatis-plus-extension-example,Yes,1
OpenHFT__Chronicle-Wire_microbenchmarks,Yes,6
OpenHFT__Java-Thread-Affinity_affinity,Yes,2
openzipkin__zipkin_mysql-v1,Yes,5
p2-inc__keycloak-events_p2-inc__keycloak-events,Yes,9
