Project,Total_Breaking_Changes,Used_Breaking_Changes,Binary_Compatibility_Rate,Source_Compatibility_Rate,Transitive_Changes,Usage_Rate
OpenHFT__Chronicle-Logger_logger-tools,107,0,0.308411214953271,0.0,50,0.0
OpenHFT__Chronicle-Wire_microbenchmarks,2014,3,0.36097318768619663,0.0,1921,0.14895729890764647
OpenHFT__Java-Thread-Affinity_affinity,74,1,0.9594594594594594,0.0,0,1.3513513513513513
OpenHFT__Java-Thread-Affinity_affinity-test,34,0,0.38235294117647056,0.0,34,0.0
OpenIdentityPlatform__OpenDJ_opendj-embedded,1,0,1.0,0.0,0,0.0
OpenIdentityPlatform__OpenDJ_opendj-ldap-toolkit,76,0,0.02631578947368421,0.0,76,0.0
Randgalt__record-builder_record-builder-test,149,0,0.18120805369127516,0.0,149,0.0
SPARQL-Anything__sparql.anything_sparql-anything-archive,31,0,0.5161290322580645,0.0,17,0.0
SPARQL-Anything__sparql.anything_sparql-anything-bibliography,6,0,0.0,0.0,3,0.0
SPARQL-Anything__sparql.anything_sparql-anything-binary,6,0,0.0,0.0,3,0.0
SPARQL-Anything__sparql.anything_sparql-anything-cli,8,1,0.25,0.0,3,12.5
SPARQL-Anything__sparql.anything_sparql-anything-csv,7,0,0.14285714285714285,0.0,3,0.0
SPARQL-Anything__sparql.anything_sparql-anything-docs,102,0,0.058823529411764705,0.0,99,0.0
SPARQL-Anything__sparql.anything_sparql-anything-documentation-generator,6,0,0.0,0.0,3,0.0
SPARQL-Anything__sparql.anything_sparql-anything-engine,66,2,0.25757575757575757,0.0,15,3.0303030303030303
SPARQL-Anything__sparql.anything_sparql-anything-fuseki,4832,0,0.028973509933774833,0.0,4800,0.0
SPARQL-Anything__sparql.anything_sparql-anything-json,435,0,0.4367816091954023,0.0,360,0.0
SPARQL-Anything__sparql.anything_sparql-anything-markdown,174,0,0.09195402298850575,0.0,87,0.0
SPARQL-Anything__sparql.anything_sparql-anything-metadata,15,0,0.06666666666666667,0.0,3,0.0
SPARQL-Anything__sparql.anything_sparql-anything-model,3001,2,0.04031989336887704,0.0,2997,0.06664445184938354
SPARQL-Anything__sparql.anything_sparql-anything-parser,52,0,0.0,0.0,3,0.0
SPARQL-Anything__sparql.anything_sparql-anything-rdf,6,0,0.0,0.0,3,0.0
SPARQL-Anything__sparql.anything_sparql-anything-slides,102,0,0.058823529411764705,0.0,99,0.0
SPARQL-Anything__sparql.anything_sparql-anything-spreadsheet,102,0,0.058823529411764705,0.0,99,0.0
SPARQL-Anything__sparql.anything_sparql-anything-testutils,6,0,0.0,0.0,3,0.0
SPARQL-Anything__sparql.anything_sparql-anything-text,6,0,0.0,0.0,3,0.0
SPARQL-Anything__sparql.anything_sparql-anything-xml,6,0,0.0,0.0,3,0.0
SPARQL-Anything__sparql.anything_sparql-anything-yaml,48,0,0.041666666666666664,0.0,3,0.0
SonarOpenCommunity__sonar-cxx_cxx-checks,7,0,0.2857142857142857,0.0,2,0.0
SonarOpenCommunity__sonar-cxx_cxx-sensors,10,0,0.2,0.0,2,0.0
SonarOpenCommunity__sonar-cxx_sonar-cxx-plugin,10,0,0.2,0.0,2,0.0
SonarSource__sonarlint-core_analysis-engine,19,0,0.0,0.0,19,0.0
SonarSource__sonarlint-core_cli,1,0,0.0,0.0,1,0.0
